crack_depth_mm,internal_pressure_mpa,ki_over_kic
1.0,2.0,0.000501
1.25,2.0,0.00056
1.5,2.0,0.000614
1.75,2.0,0.000663
2.0,2.0,0.000708
2.25,2.0,0.000751
2.5,2.0,0.000792
2.75,2.0,0.000831
3.0,2.0,0.000868
3.25,2.0,0.000903
3.5,2.0,0.000937
3.75,2.0,0.00097
4.0,2.0,0.001002
4.25,2.0,0.001033
4.5,2.0,0.001063
4.75,2.0,0.001092
5.0,2.0,0.00112
5.25,2.0,0.001148
5.5,2.0,0.001175
5.75,2.0,0.001201
6.0,2.0,0.001227
6.25,2.0,0.001252
6.5,2.0,0.001277
6.75,2.0,0.001302
7.0,2.0,0.001325
7.25,2.0,0.001349
7.5,2.0,0.001372
7.75,2.0,0.001395
8.0,2.0,0.001417
8.25,2.0,0.001439
8.5,2.0,0.001461
8.75,2.0,0.001482
9.0,2.0,0.001503
9.25,2.0,0.001524
9.5,2.0,0.001544
9.75,2.0,0.001564
10.0,2.0,0.001584
10.25,2.0,0.001604
10.5,2.0,0.001623
10.75,2.0,0.001642
11.0,2.0,0.001661
11.25,2.0,0.00168
11.5,2.0,0.001699
11.75,2.0,0.001717
12.0,2.0,0.001735
12.25,2.0,0.001753
12.5,2.0,0.001771
12.75,2.0,0.001789
13.0,2.0,0.001806
13.25,2.0,0.001823
13.5,2.0,0.001841
13.75,2.0,0.001858
14.0,2.0,0.001874
14.25,2.0,0.001891
14.5,2.0,0.001908
14.75,2.0,0.001924
15.0,2.0,0.00194
15.25,2.0,0.001956
15.5,2.0,0.001972
15.75,2.0,0.001988
16.0,2.0,0.002004
16.25,2.0,0.002019
16.5,2.0,0.002035
16.75,2.0,0.00205
17.0,2.0,0.002065
17.25,2.0,0.002081
17.5,2.0,0.002096
17.75,2.0,0.002111
18.0,2.0,0.002125
18.25,2.0,0.00214
18.5,2.0,0.002155
18.75,2.0,0.002169
19.0,2.0,0.002184
19.25,2.0,0.002198
19.5,2.0,0.002212
19.75,2.0,0.002226
20.0,2.0,0.00224
20.25,2.0,0.002254
20.5,2.0,0.002268
20.75,2.0,0.002282
21.0,2.0,0.002296
21.25,2.0,0.002309
21.5,2.0,0.002323
21.75,2.0,0.002336
22.0,2.0,0.00235
22.25,2.0,0.002363
22.5,2.0,0.002376
22.75,2.0,0.002389
23.0,2.0,0.002402
23.25,2.0,0.002416
23.5,2.0,0.002428
23.75,2.0,0.002441
24.0,2.0,0.002454
24.25,2.0,0.002467
24.5,2.0,0.00248
24.75,2.0,0.002492
25.0,2.0,0.002505
25.25,2.0,0.002517
25.5,2.0,0.00253
25.75,2.0,0.002542
26.0,2.0,0.002554
26.25,2.0,0.002567
26.5,2.0,0.002579
26.75,2.0,0.002591
27.0,2.0,0.002603
27.25,2.0,0.002615
27.5,2.0,0.002627
27.75,2.0,0.002639
28.0,2.0,0.002651
28.25,2.0,0.002663
28.5,2.0,0.002674
28.75,2.0,0.002686
29.0,2.0,0.002698
29.25,2.0,0.002709
29.5,2.0,0.002721
29.75,2.0,0.002732
30.0,2.0,0.002744
30.25,2.0,0.002755
30.5,2.0,0.002767
30.75,2.0,0.002778
31.0,2.0,0.002789
31.25,2.0,0.0028
31.5,2.0,0.002812
31.75,2.0,0.002823
32.0,2.0,0.002834
32.25,2.0,0.002845
32.5,2.0,0.002856
32.75,2.0,0.002867
33.0,2.0,0.002878
33.25,2.0,0.002889
33.5,2.0,0.002899
33.75,2.0,0.00291
34.0,2.0,0.002921
34.25,2.0,0.002932
34.5,2.0,0.002942
34.75,2.0,0.002953
35.0,2.0,0.002964
35.25,2.0,0.002974
35.5,2.0,0.002985
35.75,2.0,0.002995
36.0,2.0,0.003006
36.25,2.0,0.003016
36.5,2.0,0.003027
36.75,2.0,0.003037
37.0,2.0,0.003047
37.25,2.0,0.003057
37.5,2.0,0.003068
37.75,2.0,0.003078
38.0,2.0,0.003088
38.25,2.0,0.003098
38.5,2.0,0.003108
38.75,2.0,0.003118
39.0,2.0,0.003128
39.25,2.0,0.003138
39.5,2.0,0.003148
39.75,2.0,0.003158
40.0,2.0,0.003168
40.25,2.0,0.003178
40.5,2.0,0.003188
40.75,2.0,0.003198
41.0,2.0,0.003208
41.25,2.0,0.003217
41.5,2.0,0.003227
41.75,2.0,0.003237
42.0,2.0,0.003247
42.25,2.0,0.003256
42.5,2.0,0.003266
42.75,2.0,0.003275
43.0,2.0,0.003285
43.25,2.0,0.003294
43.5,2.0,0.003304
43.75,2.0,0.003313
44.0,2.0,0.003323
44.25,2.0,0.003332
44.5,2.0,0.003342
44.75,2.0,0.003351
45.0,2.0,0.00336
1.0,2.125,0.002149
1.25,2.125,0.002402
1.5,2.125,0.002632
1.75,2.125,0.002843
2.0,2.125,0.003039
2.25,2.125,0.003223
2.5,2.125,0.003398
2.75,2.125,0.003563
3.0,2.125,0.003722
3.25,2.125,0.003874
3.5,2.125,0.00402
3.75,2.125,0.004161
4.0,2.125,0.004298
4.25,2.125,0.00443
4.5,2.125,0.004558
4.75,2.125,0.004683
5.0,2.125,0.004805
5.25,2.125,0.004924
5.5,2.125,0.005039
5.75,2.125,0.005153
6.0,2.125,0.005264
6.25,2.125,0.005372
6.5,2.125,0.005478
6.75,2.125,0.005583
7.0,2.125,0.005685
7.25,2.125,0.005786
7.5,2.125,0.005885
7.75,2.125,0.005982
8.0,2.125,0.006078
8.25,2.125,0.006172
8.5,2.125,0.006265
8.75,2.125,0.006356
9.0,2.125,0.006446
9.25,2.125,0.006535
9.5,2.125,0.006623
9.75,2.125,0.00671
10.0,2.125,0.006795
10.25,2.125,0.00688
10.5,2.125,0.006963
10.75,2.125,0.007045
11.0,2.125,0.007127
11.25,2.125,0.007207
11.5,2.125,0.007287
11.75,2.125,0.007366
12.0,2.125,0.007444
12.25,2.125,0.007521
12.5,2.125,0.007597
12.75,2.125,0.007673
13.0,2.125,0.007748
13.25,2.125,0.007822
13.5,2.125,0.007895
13.75,2.125,0.007968
14.0,2.125,0.00804
14.25,2.125,0.008112
14.5,2.125,0.008182
14.75,2.125,0.008253
15.0,2.125,0.008322
15.25,2.125,0.008391
15.5,2.125,0.00846
15.75,2.125,0.008528
16.0,2.125,0.008595
16.25,2.125,0.008662
16.5,2.125,0.008729
16.75,2.125,0.008794
17.0,2.125,0.00886
17.25,2.125,0.008925
17.5,2.125,0.008989
17.75,2.125,0.009053
18.0,2.125,0.009117
18.25,2.125,0.00918
18.5,2.125,0.009242
18.75,2.125,0.009305
19.0,2.125,0.009366
19.25,2.125,0.009428
19.5,2.125,0.009489
19.75,2.125,0.00955
20.0,2.125,0.00961
20.25,2.125,0.00967
20.5,2.125,0.009729
20.75,2.125,0.009788
21.0,2.125,0.009847
21.25,2.125,0.009906
21.5,2.125,0.009964
21.75,2.125,0.010021
22.0,2.125,0.010079
22.25,2.125,0.010136
22.5,2.125,0.010193
22.75,2.125,0.010249
23.0,2.125,0.010305
23.25,2.125,0.010361
23.5,2.125,0.010417
23.75,2.125,0.010472
24.0,2.125,0.010527
24.25,2.125,0.010582
24.5,2.125,0.010636
24.75,2.125,0.01069
25.0,2.125,0.010744
25.25,2.125,0.010798
25.5,2.125,0.010851
25.75,2.125,0.010904
26.0,2.125,0.010957
26.25,2.125,0.011009
26.5,2.125,0.011062
26.75,2.125,0.011114
27.0,2.125,0.011166
27.25,2.125,0.011217
27.5,2.125,0.011269
27.75,2.125,0.01132
28.0,2.125,0.01137
28.25,2.125,0.011421
28.5,2.125,0.011472
28.75,2.125,0.011522
29.0,2.125,0.011572
29.25,2.125,0.011622
29.5,2.125,0.011671
29.75,2.125,0.01172
30.0,2.125,0.01177
30.25,2.125,0.011819
30.5,2.125,0.011867
30.75,2.125,0.011916
31.0,2.125,0.011964
31.25,2.125,0.012012
31.5,2.125,0.01206
31.75,2.125,0.012108
32.0,2.125,0.012156
32.25,2.125,0.012203
32.5,2.125,0.01225
32.75,2.125,0.012297
33.0,2.125,0.012344
33.25,2.125,0.012391
33.5,2.125,0.012437
33.75,2.125,0.012484
34.0,2.125,0.01253
34.25,2.125,0.012576
34.5,2.125,0.012621
34.75,2.125,0.012667
35.0,2.125,0.012713
35.25,2.125,0.012758
35.5,2.125,0.012803
35.75,2.125,0.012848
36.0,2.125,0.012893
36.25,2.125,0.012938
36.5,2.125,0.012982
36.75,2.125,0.013027
37.0,2.125,0.013071
